iter	Passed	Remaining
0	121	121299
1	123	61378
2	124	41375
3	125	31348
4	127	25364
5	132	21892
6	134	19051
7	135	16812
8	137	15184
9	139	13815
10	141	12678
11	142	11731
12	146	11157
13	148	10463
14	150	9864
15	151	9347
16	153	8876
17	154	8448
18	156	8070
19	158	7778
20	162	7552
21	163	7272
22	165	7010
23	166	6776
24	168	6556
25	169	6361
26	171	6173
27	172	6004
28	175	5877
29	177	5737
30	178	5593
31	182	5508
32	183	5377
33	185	5257
34	186	5149
35	188	5043
36	192	5009
37	194	4919
38	195	4823
39	197	4731
40	198	4644
41	200	4562
42	201	4489
43	203	4419
44	206	4385
45	209	4336
46	210	4270
47	212	4207
48	214	4154
49	216	4111
50	217	4056
51	219	4002
52	223	3995
53	225	3944
54	226	3899
55	228	3853
56	230	3808
57	231	3763
58	233	3717
59	234	3674
60	238	3673
61	240	3636
62	241	3594
63	243	3558
64	244	3519
65	246	3483
66	247	3447
67	249	3414
68	253	3420
69	255	3393
70	257	3364
71	258	3333
72	260	3303
73	261	3273
74	262	3242
75	264	3219
76	268	3214
77	269	3187
78	271	3160
79	272	3138
80	274	3113
81	276	3093
82	277	3061
83	278	3038
84	280	3015
85	283	3010
86	284	2989
87	286	2971
88	288	2950
89	289	2929
90	291	2910
91	293	2892
92	294	2874
93	297	2871
94	299	2853
95	301	2837
96	302	2818
97	304	2799
98	305	2781
99	307	2763
100	308	2747
101	310	2732
102	314	2739
103	316	2724
104	318	2715
105	320	2702
106	322	2690
107	323	2674
108	325	2663
109	330	2671
110	332	2659
111	333	2646
112	335	2634
113	337	2620
114	338	2607
115	340	2593
116	343	2593
117	345	2580
118	346	2568
119	348	2558
120	350	2545
121	351	2530
122	353	2517
123	354	2504
124	356	2492
125	359	2495
126	361	2482
127	362	2471
128	364	2459
129	365	2448
130	367	2436
131	368	2423
132	369	2411
133	371	2401
134	375	2403
135	376	2392
136	378	2382
137	379	2371
138	381	2360
139	382	2349
140	384	2339
141	385	2326
142	386	2319
143	388	2309
144	390	2299
145	391	2289
146	392	2278
147	394	2268
148	395	2258
149	396	2249
150	398	2240
151	400	2232
152	402	2227
153	403	2218
154	405	2208
155	406	2200
156	408	2191
157	409	2183
158	411	2174
159	412	2166
160	413	2156
161	417	2158
162	418	2150
163	420	2142
164	421	2134
165	423	2126
166	424	2117
167	426	2110
168	428	2104
169	431	2107
170	433	2100
171	435	2095
172	437	2089
173	438	2082
174	440	2075
175	441	2068
176	443	2061
177	447	2064
178	448	2057
179	450	2051
180	451	2044
181	454	2040
182	455	2033
183	457	2027
184	458	2020
185	462	2024
186	464	2018
187	465	2011
188	467	2005
189	468	1998
190	470	1991
191	471	1984
192	472	1977
193	474	1970
194	478	1974
195	479	1968
196	481	1962
197	483	1957
198	484	1951
199	486	1945
200	487	1939
201	489	1934
202	493	1935
203	494	1929
204	496	1924
205	497	1919
206	499	1913
207	500	1906
208	502	1901
209	504	1896
210	509	1906
211	512	1903
212	513	1898
213	515	1893
214	516	1887
215	519	1884
216	521	1883
217	524	1881
218	526	1877
219	528	1872
220	529	1866
221	531	1861
222	533	1858
223	535	1853
224	538	1853
225	540	1852
226	542	1847
227	544	1842
228	545	1837
229	547	1832
230	549	1827
231	550	1822
232	553	1820
233	593	1941
234	595	1938
235	597	1933
236	601	1935
237	603	1931
238	606	1931
239	608	1926
240	609	1920
241	611	1915
242	613	1911
243	617	1912
244	619	1908
245	622	1908
246	624	1902
247	625	1897
248	628	1897
249	631	1895
250	633	1890
251	635	1885
252	637	1881
253	639	1876
254	641	1875
255	644	1872
256	646	1869
257	648	1864
258	652	1866
259	653	1861
260	657	1860
261	661	1862
262	663	1858
263	664	1853
264	667	1850
265	669	1847
266	681	1870
267	682	1865
268	684	1859
269	685	1853
270	689	1854
271	699	1870
272	700	1865
273	706	1871
274	707	1866
275	710	1863
276	712	1859
277	714	1854
278	716	1851
279	720	1853
280	722	1849
281	726	1849
282	728	1845
283	729	1840
284	731	1836
285	734	1834
286	737	1831
287	739	1827
288	740	1822
289	742	1816
290	743	1812
291	745	1806
292	746	1802
293	750	1801
294	751	1796
295	753	1792
296	755	1787
297	756	1782
298	758	1777
299	759	1773
300	761	1768
301	762	1763
302	765	1761
303	767	1756
304	768	1751
305	770	1748
306	772	1744
307	775	1741
308	776	1736
309	778	1732
310	781	1730
311	783	1726
312	784	1722
313	786	1718
314	788	1713
315	789	1709
316	791	1704
317	792	1700
318	796	1700
319	798	1696
320	799	1691
321	801	1688
322	803	1683
323	804	1679
324	806	1674
325	808	1670
326	812	1671
327	814	1667
328	815	1663
329	818	1661
330	819	1656
331	821	1652
332	822	1648
333	825	1646
